"","","#VALUE!","","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120"
"","","#VALUE!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1 Jan 16","","Data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31 Des 24","","Value MoS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOTAL SHARES = Saham yang Beredar","2","Shares 2016","2016","100.799.996.400","2.304.131.849","40.483.533.140","2.900.000.000","7.630.000.000","48.198.111.100","0","24.241.508.196","15.000.000.000","24.030.764.725","10.202.925.000","1.924.088.000","48.159.602.400","31.985.962.000","14.945.057.582","3.333.333.500","0","24.669.162.000","0","18.648.656.458","3.730.135.136","24.655.010.000","23.333.333.333","3.275.120.000","10.590.000.000","14.550.736.000","4.819.733.000","16.398.000.000","41.542.501.700","4.014.694.920","3.332.451.450","11.661.908.000","8.780.426.500","5.470.982.941","3.569.587.140","9.936.338.720","15.425.291.220","1.100.000.000","10.706.012.530","5.433.933.500","1.129.925.000","11.410.522.910","7.257.871.200","0","5.931.520.222","14.426.781.680","","1.660.000.000","3.066.660.000","17.150.000.000","6.979.892.784","3.286.862.558","","19.246.969.192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2","Shares 2017","2017","100.799.996.400","11.520.659.250","40.483.533.140","2.900.000.000","7.630.000.000","48.198.111.100","0","24.241.508.196","15.000.000.000","24.030.764.725","10.202.925.000","1.924.088.000","48.159.602.400","31.985.962.000","14.974.591.382","3.333.333.500","6.933.330.000","123.345.801.000","0","18.648.656.458","3.730.135.136","24.655.010.000","46.666.666.666","3.275.120.000","10.590.000.000","14.550.736.000","4.819.733.000","16.398.000.000","41.542.501.700","4.014.694.920","17.728.923.467","11.661.908.000","8.780.426.500","5.470.982.941","3.569.587.140","9.936.338.720","18.535.695.255","11.000.000.000","10.706.012.530","5.433.933.500","1.129.925.000","11.410.522.910","7.257.871.200","3.958.000.000","5.931.520.222","14.426.781.680","","1.660.000.000","3.066.660.000","17.150.000.000","13.959.785.568","17.833.520.260","","19.246.969.192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2","Shares 2018","2018","99.062.216.600","11.520.659.250","40.483.533.140","2.900.000.000","7.630.000.000","48.198.111.100","0","24.241.508.196","15.000.000.000","24.030.764.725","10.202.925.000","1.924.088.000","48.159.602.400","31.985.962.000","14.978.134.982","3.333.333.500","7.703.700.000","123.345.801.000","0","18.648.656.458","3.730.135.136","24.655.010.000","46.666.666.666","3.275.120.000","10.590.000.000","14.550.736.000","4.819.733.000","16.398.000.000","41.542.501.700","4.014.694.920","17.829.347.601","11.661.908.000","8.780.426.500","5.470.982.941","4.164.518.330","9.936.338.720","18.535.695.255","14.300.000.000","10.706.012.530","5.433.933.500","1.129.925.000","11.726.575.201","7.257.871.200","9.716.113.498","5.931.520.222","14.426.781.680","2.850.400.000","16.600.000.000","3.066.660.000","17.150.000.000","17.791.586.878","17.833.520.260","61.953.555.600","19.246.969.192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2","Shares 2019","2019","99.062.216.600","11.520.659.250","40.483.533.140","2.900.000.000","7.630.000.000","48.198.111.100","41.396.142.000","24.241.508.196","15.000.000.000","24.030.764.725","10.202.925.000","1.924.088.000","48.159.602.400","31.985.962.000","15.002.370.382","3.333.333.500","7.703.700.000","123.345.801.000","2.161.638.132","18.648.656.458","3.730.135.136","24.655.010.000","46.666.666.666","3.275.120.000","10.590.000.000","14.246.349.500","4.819.733.000","16.398.000.000","41.542.501.700","4.014.694.920","17.916.081.914","11.661.908.000","8.780.426.500","5.470.982.941","21.897.591.650","9.936.338.720","18.535.695.255","14.300.000.000","10.706.012.530","5.433.933.500","1.129.925.000","11.726.575.201","7.257.871.200","9.716.113.498","5.931.520.222","14.426.781.680","2.850.400.000","16.600.000.000","3.066.660.000","17.150.000.000","89.015.998.170","17.833.520.260","61.953.555.600","19.246.969.192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2","Shares 2020","2020","99.062.216.600","11.520.659.250","40.483.533.140","2.900.000.000","7.630.000.000","48.198.111.100","41.396.142.000","24.241.508.196","30.000.000.000","24.030.764.725","10.202.925.000","1.924.088.000","48.159.602.400","31.985.962.000","15.015.498.082","3.333.333.500","7.703.700.000","123.345.801.000","2.161.638.132","18.648.656.458","3.730.135.136","24.655.010.000","46.666.666.666","3.275.120.000","10.590.000.000","14.246.349.500","4.819.733.000","16.398.000.000","41.542.501.700","4.014.694.920","25.136.231.252","11.661.908.000","8.780.426.500","5.470.982.941","21.897.591.650","9.936.338.720","18.535.695.255","15.660.887.000","10.706.012.530","5.433.933.500","1.129.925.000","11.726.575.201","7.257.871.200","9.900.508.698","5.931.520.222","14.426.781.680","2.850.400.000","16.600.000.000","3.066.660.000","17.150.000.000","93.388.796.190","17.833.520.260","61.953.555.600","19.246.969.192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2","Shares 2021","2021","99.062.216.600","11.520.659.250","40.483.533.140","2.900.000.000","38.150.000.000","48.198.111.100","41.396.142.000","24.241.508.196","30.000.000.000","24.030.764.725","51.014.625.000","1.924.088.000","48.159.602.400","31.985.962.000","15.015.498.082","3.333.333.500","7.703.700.000","151.559.001.604","83.515.452.844","18.648.656.458","3.730.135.136","123.275.050.000","46.666.666.666","3.275.120.000","10.590.000.000","14.246.349.500","4.819.733.000","16.398.000.000","41.542.501.700","4.014.694.920","25.136.231.252","11.661.908.000","8.780.426.500","5.470.982.941","22.904.850.815","9.936.338.720","18.535.695.255","15.660.887.000","10.706.012.530","5.433.933.500","1.129.925.000","11.726.575.201","7.257.871.200","41.129.307.343","5.931.520.222","14.426.781.680","2.850.400.000","16.600.000.000","3.066.660.000","17.150.000.000","93.388.796.190","17.833.520.260","61.953.555.600","19.246.969.192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
