"","","3","4","5","6","7","8","9","10","11","12","13","14","16","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120"
"1.000.000.000","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","3","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%","6,00%"
"Current Price 2024","Rumus ke Data Tech -->",""," Rp 2.530 "," Rp 4.800 "," Rp 488 "," Rp 1.755 "," Rp 199 "," Rp 1.030 "," Rp 1.510 "," Rp 352 "," Rp 3.160 "," Rp 456 "," Rp 19.525 "," Rp 272 "," Rp 2.670 "," Rp 520 "," Rp 14.575 "," Rp 985 "," Rp 3.190 "," Rp 460 "," Rp 3.780 "," Rp 24.000 "," Rp 6.475 "," Rp 4.250 "," Rp 312 "," Rp 1.235 "," Rp 1.875 "," Rp 3.400 "," Rp 3.060 "," Rp 1.340 "," Rp 1.365 "," Rp 1.360 "," Rp 7.950 "," Rp 7.300 "," Rp 8.850 "," Rp 3.040 "," Rp 5.225 "," Rp 630 "," Rp 615 "," Rp 2.770 "," Rp 2.530 "," Rp 25.650 "," Rp 2.170 "," Rp 2.830 "," Rp 1.785 "," Rp 1.500 "," Rp 316 "," Rp 725 "," Rp 1.495 "," Rp 2.860 "," Rp 360 "," Rp 1.830 ",""," Rp 360 "," Rp 640 "," Rp 670 "," Rp 735 "," Rp 1.630 "," Rp 670 "," Rp 490 "," Rp 615 "," Rp 2.030 "," Rp 1.495 "," Rp 3.650 "," Rp 43.850 "," Rp 505 "," Rp 183 "," Rp 575 "," Rp 200 "," Rp 4.410 "," Rp 2.830 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EPS (3M 2024)","Data Manual --> Hitung blm Full Year","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EPS 2024","Rumus ke LK--> Year N (Annual)","401,63","653,32","1430,18","22,90","117,75","36,93","80,10","373,74","52,04","136,44","86,43","3690,06","1048,04","1048,04","115,88","609,68","146,60","541,69","33,72","774,64","1717,19","593,26","905,20","97,87","310,76","31,17","610,55","165,06","118,91","187,25","299,01","1112,23","0,00","0,00","0,00","0,00","0,00","0,00","203,16","1293,60","0,00","0,00","0,00","202,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"Shares 2024","Rumus ke LK--> Year N","99.062.216.600","11.520.659.250","40.483.533.140","15.950.000.000","38.150.000.000","48.198.111.100","41.396.142.000","24.241.508.196","30.000.000.000","24.030.764.725","51.014.625.000","1.924.088.000","31.985.962.000","31.985.962.000","15.015.498.082","33.333.335.000","7.703.700.000","151.559.001.604","83.552.719.544","37.297.312.916","3.730.135.136","123.275.050.000","93.333.333.332","16.375.600.000","14.034.444.413","14.246.349.500","4.819.733.000","16.398.000.000","41.542.501.700","20.073.474.600","25.136.231.252","11.661.908.000","","","","","","","12.128.430.665","5.433.933.500","","","","46.129.260.138","5.931.520.222","14.426.781.680","2.850.400.000","16.600.000.000","3.066.660.000","17.150.000.000","93.388.796.190","17.833.520.260","61.953.555.600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total Equity 2024","Rumus ke LK--> Year N","154.351.000.000.000","20.338.000.000.000","271.496.000.000.000","8.784.000.000.000","2.149.000.000.000","7.215.000.000.000","32.144.000.000.000","54.066.000.000.000","3.488.000.000.000","30.379.000.000.000","17.757.000.000.000","61.855.000.000.000","86.777.000.000.000","86.777.000.000.000","12.346.000.000.000","37.385.000.000.000","9.009.000.000.000","329.473.000.000.000","33.600.000.000.000","167.187.000.000.000","90.377.000.000.000","262.835.000.000.000","301.337.000.000.000","10.937.000.000.000","32.008.000.000.000","6.780.000.000.000","15.395.000.000.000","28.939.000.000.000","16.785.000.000.000","13.617.000.000.000","34.012.000.000.000","67.714.000.000.000","0","0","0","0","0","0","6.222.000.000.000","36.652.000.000.000","0","0","0","45.042.000.000.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PER 2024","Rumus ke LK--> Year N","50,08","6,39","5,83","6,45","21,35","5,38","18,94","6,68","15,12","14,63","13,32","16,45","3,35","3,35","6,56","4528,00","11,05","12,26","25,32","7,56","19,83","21,75","11,14","7,48","6,22","138,03","5,29","37,97","36,33","12,25","5,79","17,79","","","","","","","16,24","16,29","","","","17,97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STEP 1 -  Hitung Initial Rate of Return  (%IRR)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
