"","","","Transaction
Dashboard ","","","Change (Rp)","Change (%)","Total Equity (Rp)","Balance Nett Value (Rp)",""
"","","","","","","▼-Rp 262.262.542 ","▼-34,1%"," Rp 769.909.706 "," Rp 521.541.339 ",""
"","","","Sabtu, Agustus 29, 2026","","",""," Rp - ","-","",""
"","","Composite 2026 - ATH","▼-28,6%","","","","","","",""
"","","Free Cash","▲1,84%","","","","","","",""
"","","Cash","","","","","","","",""
"",""," Rp 13.894.175 "," Rp 675 "," Rp - ","","▲ Rp 190.472.671 ","▲ Rp 1.252.740 ","▲ Rp 19.626.491 ","▲ Rp 2.500.000 ",""
"","","Investment Instrument","","","",""," Rp 749.655.867 ","","",""
"","","Equity","▲99,41%","","","","","","",""
"",""," Rp 751.534.242 ","","",""," Rp 29.031.020 "," Rp 244.606.477 "," Rp 163.797.999 "," Rp 31.180.236 ",""
"","","","","","","▲3,87%","▲32,63%","▲21,85%","▲4,16%",""
"","","Fund","-","","","","","","",""
"",""," Rp -   ","","",""," Rp 51.859.624 "," Rp 21.273.844 "," Rp 130.871.145 "," Rp 75.929.425 ",""
"","","","","","","▲6,92%","▲2,84%","▲17,46%","▲10,13%",""
"","","Crypto","-","","","","","","",""
"",""," Rp -   ","","",""," Rp -   "," Rp -   "," Rp 1.106.098 ","",""
"","","","","","","-","-","▲0,15%","",""
"","","P2P","▲0,59%","","","","","","",""
"",""," Rp 4.481.289 ","","","","","","","",""
"","","Dividend Yield","","","","","","","",""
"","","Transaction","","","","","","","",""
"","","Transaction Date","29 Agu 26","","","","","","",""
"","","Buy","","","","","","","",""
"",""," Rp - "," Rp - "," Rp - ",""," Rp 2.993.792 ","28.400"," Rp 28.340.909 ","▲0,40%",""
"","","-","-","-","","","","","",""
"","","Tracking Transaction","","","","","","","",""
"","","","","","","","▲1,27%","-","▼-0,89%",""
"","","","1 Jan 26","29 Agu 26","","","","","",""
"","","Yearly","","","",""," Rp 107.776.850 "," Rp 125.189.937 "," Rp 55.190.301 ",""
"","","","","","","","▼-0,64%","-","-",""
"","","","▼-Rp 174.127 ","","","▲54,9%","","","",""
"","","","▼-0,02%","","","▲ Rp 411.757.384 ","","","",""
"","","","","▲ Rp 190.472.671 ","",""," Rp 40.381.580 "," Rp 38.608.062 "," Rp 44.610.655 ",""
"","","Capital Gain & Dividen","","","","","","","",""
"","","Year","","","","","","","",""
"","","2026","-Rp 174.127 "," Rp 26.723.106 ","",""," Rp 526.183.120 "," Rp 171.409.116 "," Rp 7.452.976 ",""
"","","","","","","","▲74,63%","▲24,31%","▲1,06%",""
"","","Holding Stock Performance - Nett Value","","","","","","","",""
"","","Indicator","","","","","▼-Rp 196.981.544 ","","▼-37,44%",""
"","","PTRO","","","","","","","",""
"","","4.990","6.475","352","","1.030","810","2.670","1.390",""
"","","-","▼-11,34%","▼-43,28%","","▼-25,91%","▼-5,49%","▼-0,34%","▼-25,31%",""
"",""," Exit Postition","▼-Rp 6.256.856 ","▼-Rp 9.207.599 ","","▼-Rp 32.439.381 ","▼-Rp 1.264.627 ","▼-Rp 120.746 ","▼-Rp 11.288.892 ",""
"","","DEWA","","","","","","","",""
"","","440","3.780","4.250","","50","2.020","50","190",""
"","","▼-61,13%","▼-19,37%","▼-13,88%","","▼-79,42%","▼-37,51%","▼-70,05%","▼-35,47%",""
"","","▼-Rp 3.911.114 ","▼-Rp 7.414.877 ","▼-Rp 6.017.900 ","","▼-Rp 800.032 ","▼-Rp 7.283.336 ","▼-Rp 774.792 ","▼-Rp 6.627.506 ",""
"","","UNVR","","","","","","","",""
"","","1.755","3.190","19.525","","312","488","680","10.225",""
"","","▼-67,31%","▼-22,95%","▼-85,64%","","▼-19,00%","▲12,12%","▼-60,39%","▲132,36%",""
"","","▼-Rp 23.248.846 ","▼-Rp 24.735.308 ","▼-Rp 34.582.056 ","","▼-Rp 5.924.087 ","▲ Rp 1.165.491 ","▼-Rp 23.316.624 ","▲ Rp 7.067.545 ",""
"","","Capital Gain 2026 (All In)","","9,38%","","","","▲ Rp 72.216.159 ","",""
"","","Hedge Fund Standard Composition","","","","","","","",""
"","","Big Bank","","","","","","","",""
"","","","","","▼-Rp 261.873.367 ","","","","",""
"","","30%","20%","25%","","","5%","10%","10%",""
"","","▼-Rp 71.245.477 ","▼-Rp 62.334.984 ","▼-Rp 60.303.426 ","","","▼-Rp 6.311.341 ","▼-Rp 61.678.139 ","▲ Rp 13.894.175 ",""
"","","-15.541.465","56.514.024","-7.514.416","","","4.501.161","-100.420.134","62.460.829",""
"","","▼-6,35%","▲58,75%","▼-3,79%","","","▲13,37%","▼-56,81%","▲449,55%",""
"",""," Trim","","","","","","","",""
"","","Potential to Sell (Rp)","","0,39%","","",""," Rp 2.993.792 ","",""
"","","Fund Market",""," Rp -   ","","",""," Rp -   ","",""
