"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","","","","","",""
"","","","","","Type ","","","","","","","","","","","","","","","","","","","","","","","",""," Rp 2.993.792 ","","","","","","Hedge Fund Standard","","",""
"","Code","","Sectoral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.400","","","","","","","","",""
"","","b","c","","e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","","GGRM"," Consumer Non-Cyclicals",""," Core Long"," Rp 40.381.580 ","  600 ","5,37%","  67.303 ","▼-Rp 28.666.580 ","▼-70,99%","▼-Rp 5.915.476 ","▼-Rp 28.666.580 "," Rp 46.478.309 ","  600 ","6,18%","77.464","▼-Rp 34.763.309 ","▼-74,79%"," Rp - ","▼-Rp 34.763.309 ","▼-Rp 6.096.730 ","  - ","▲ Rp 5.915.476 ","▼-Rp 6.096.730 ","19.525","  21.825 ","  8.300 ","▼-11,78%","0,00%"," Rp -   ","  - "," Rp -   ","","▼-Rp 34.582.056 "," Consumer Defensive","▲ Rp 40.381.580 ","▼-Rp 28.666.580 ","▲ Rp 11.715.000 "
"4","","BBNI"," Financials",""," Core Long"," Rp 38.276.774 ","  7.300 ","5,09%","  5.243 ","▼-Rp 10.682.774 ","▼-27,91%","▲ Rp 3.267.898 ","▼-Rp 10.682.774 "," Rp 35.005.891 ","  7.300 ","4,66%","4.795","▼-Rp 7.411.891 ","▼-21,17%"," Rp - ","▼-Rp 774.792 ","▲ Rp 3.270.883 ","  - ","▼-Rp 3.267.898 ","▲ Rp 9.907.982 ","3.780","  4.730 ","  2.990 ","▼-25,13%","0,69%"," Rp 2.410 ","  100 "," Rp 347.625 ","","▼-Rp 7.412.467 "," Big Bank","▲ Rp 38.276.774 ","▼-Rp 10.682.774 ","▲ Rp 27.594.000 "
"5","","CPRI"," Properties & Real Estate"," Rp -   ","Fast Trade"," Rp 1.106.098 ","  9.000 ","0,15%","  123 ","▼-Rp 656.098 ","▼-59,32%","▼-Rp 118.695 ","▼-Rp 656.098 "," Rp 1.224.792 ","  9.000 ","0,16%","136","▼-Rp 774.792 ","▼-63,26%"," Rp - ","▼-Rp 774.792 ","▼-Rp 118.695 ","  - ","▲ Rp 118.695 ","▼-Rp 118.695 ","50","  50 ","  50 ","-","0,00%"," Rp -   ","  - "," Rp -   ","","▼-Rp 774.792 "," Growth Swing","▲ Rp 1.106.098 ","▼-Rp 656.098 ","▲ Rp 450.000 "
"12","","BBCA"," Financials",""," Core Long"," Rp 55.190.301 ","  6.800 ","7,34%","  8.116 ","▼-Rp 11.160.301 ","▼-20,22%","▲ Rp 4.903.445 ","▼-Rp 11.160.301 "," Rp 50.282.840 ","  6.800 ","6,69%","7.395","▼-Rp 6.252.840 ","▼-12,44%"," Rp - ","▼-Rp 6.252.840 ","▲ Rp 4.907.462 ","  - ","▼-Rp 7.594 ","▼-Rp 6.252.840 ","6.475","  8.750 ","  4.820 ","▼-35,14%","4,54%"," Rp 196.778 ","  700 "," Rp 4.335.722 ","","▼-Rp 6.060.079 "," Big Bank","▲ Rp 55.190.301 ","▼-Rp 11.160.301 ","▲ Rp 44.030.000 "
"15","","BMRI"," Financials",""," Core Long"," Rp 43.362.552 ","  7.200 ","5,77%","  6.023 ","▼-Rp 12.762.552 ","▼-29,43%","▲ Rp 6.744.652 ","▼-Rp 12.762.552 "," Rp 36.611.126 ","  7.200 ","4,87%","5.085","▼-Rp 6.011.126 ","▼-16,42%"," Rp - ","▼-Rp 6.011.126 ","▲ Rp 6.751.426 ","  - ","▼-Rp 6.744.652 ","▲ Rp 6.751.426 ","4.250","  5.375 ","  3.650 ","▼-26,47%","1,72%"," Rp 14.332 ","  200 "," Rp 835.668 ","","▼-Rp 6.003.568 "," Big Bank","▲ Rp 43.362.552 ","▼-Rp 12.762.552 ","▲ Rp 30.600.000 "
"37","","BBRI"," Financials",""," Core Long"," Rp 107.776.850 ","  22.300 ","14,34%","  4.833,0 ","▼-Rp 36.639.850 ","▼-34,00%","▲ Rp 11.904.542 ","▼-Rp 36.639.850 "," Rp 95.379.245 ","  22.300 ","12,69%","4.277","▼-Rp 24.242.245 ","▼-25,42%"," Rp - ","▼-Rp 24.242.245 ","▲ Rp 12.397.605 ","  - ","▼-Rp 11.904.542 ","▲ Rp 12.397.605 ","3.190","  4.270 ","  2.540 ","▼-33,9%","14,96%"," Rp 124.504 ","  300 "," Rp 832.496 ","","▼-Rp 24.610.804 "," Big Bank","▲ Rp 107.776.850 ","▼-Rp 36.639.850 ","▲ Rp 71.137.000 "
